customer_id,region,membership_tier,acquisition_channel,tenure_months,recency_days,orders_12m,avg_basket,total_spend_12m,discount_share,return_rate,online_share,store_share,app_share,support_tickets_12m,delivery_delay_mean,cat_grocery_share,cat_electronics_share,cat_fashion_share,cat_home_share
C14100,Other,Silver,PaidSearch,7,24,12,90.6398220904908,1055.5883086645654,0.3891912825201281,0.07601508282339255,0.4247688122713527,0.4000131210063821,0.1752180667222652,1,3.915701313758579,0.0412433901600704,0.42609403717448696,0.2315789818658434,0.30108359079959934
C04805,Auckland,Gold,Partner,19,1,23,107.92199613531112,1840.321997752198,0.2734230012367808,0.2050451696998834,0.5248458063619681,0.3099657206908862,0.16518847294714575,4,3.7841516937685857,0.3038876086753467,0.16188583309659124,0.05622090376585895,0.4780056544622031
C19201,Wellington,Silver,Referral,14,5,18,22.86698744732961,359.30931505965674,0.34825866101586017,0.10801908433365232,0.4116087257390339,0.3867109834346087,0.20168029082635736,2,0.90831220254677,0.43911613041067626,0.04764778582820452,0.3554095314426629,0.15782655231845624
C28516,Auckland,None,Organic,30,20,7,72.25562609575891,362.107118226877,0.509482106202519,0.09517809411866077,0.393539204219332,0.48518257655395,0.12127821922671796,1,1.2336309857653502,0.3713331553676506,0.09358974464367788,0.4375985745787384,0.09747852540993314
C05453,Other,Silver,Organic,10,20,15,41.87975685966636,539.4747530060455,0.5479922490280261,0.11942483637166718,0.6896756031197465,0.16243822425289972,0.1478861726273537,3,1.8193320980343024,0.11247510291190518,0.05326104676229264,0.7150332799749581,0.11923057035084413
C16247,Other,None,Organic,15,37,4,44.76372176626045,160.8302256104664,0.06897810897603276,0.10228009596414518,0.5711283199115459,0.2688236458971897,0.16004803419126437,0,0.27776904966374955,0.13769435354809073,0.18247150679866783,0.23849406103377024,0.44134007861947105
C26453,Other,Gold,Organic,25,16,15,59.34131927356531,722.3933835947636,0.2443596670399504,0.1675452042185616,0.4222841434013527,0.29048318543503376,0.28723267116361345,3,0.7854950158118942,0.24743509666692237,0.4204629652089225,0.24007474868328313,0.09202718944087196
C10843,Christchurch,Gold,Organic,19,11,16,93.33727562630992,1367.696155429441,0.3833990817599781,0.09888878309173613,0.2791353263883461,0.5102883490706898,0.21057632454096412,3,2.2679474977820937,0.40529410098431345,0.06651760633925918,0.06185077377066879,0.46633751890575864
C09949,Auckland,Gold,Partner,7,21,17,88.28415416653593,1066.1169083977404,0.5803078796186859,0.1013099482628766,0.4367680912418071,0.3709327434545527,0.1922991653036401,2,3.8887033371344937,0.4680096131415983,0.09217292855706344,0.3912935626068332,0.04852389569450503
C08551,Auckland,None,PaidSearch,6,22,12,56.89193041453739,611.4960993282754,0.4072579284734265,0.06079137467862824,0.5376207028274653,0.25122064702673386,0.21115865014580093,2,2.3314543636592577,0.3747334141382192,0.3974619273354551,0.13199290859935717,0.0958117499269686
